31-56-2022 09:56:59 urllib3.connectionpool:DEBUG:https://www.baidu.com:443 "GET /s?rtt=1&bsst=1&cl=2&tn=news&ie=utf-8&word=%E6%95%99%E6%9D%90&pn=500&ie=utf-8 HTTP/1.1" 200 None
31-56-2022 09:56:59 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): www.baidu.com:443
31-57-2022 09:57:00 urllib3.connectionpool:DEBUG:https://www.baidu.com:443 "GET /s?rtt=1&bsst=1&cl=2&tn=news&ie=utf-8&word=%E6%95%99%E6%9D%90&pn=600&ie=utf-8 HTTP/1.1" 200 None
31-57-2022 09:57:00 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): www.baidu.com:443
31-57-2022 09:57:01 urllib3.connectionpool:DEBUG:https://www.baidu.com:443 "GET /s?rtt=1&bsst=1&cl=2&tn=news&ie=utf-8&word=%E6%95%99%E6%9D%90&pn=700&ie=utf-8 HTTP/1.1" 200 None
31-57-2022 09:57:02 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): www.baidu.com:443
31-57-2022 09:57:02 urllib3.connectionpool:DEBUG:https://www.baidu.com:443 "GET /s?rtt=1&bsst=1&cl=2&tn=news&ie=utf-8&word=%E6%95%99%E6%9D%90&pn=800&ie=utf-8 HTTP/1.1" 200 None
31-57-2022 09:57:02 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): www.baidu.com:443
31-57-2022 09:57:03 urllib3.connectionpool:DEBUG:https://www.baidu.com:443 "GET /s?rtt=1&bsst=1&cl=2&tn=news&ie=utf-8&word=%E6%95%99%E6%9D%90&pn=900&ie=utf-8 HTTP/1.1" 200 None
31-57-2022 09:57:03 root:INFO:Finish title search in 10.870139360427856
31-57-2022 09:57:04 root:INFO:Finish title search in 10.870392084121704
31-57-2022 09:57:04 urllib3.connectionpool:DEBUG:Starting new HTTPS connection (1): www.huaxia.com:443
